ticker,idea,score_fundamental,score_technical,score_structural,idea_score,directional_score,verdict,structural_class,quality_trend,sector
SPY,momentum,0.15,0.25287321000908153,-0.5,0.014138036997275533,-0.014138036997275533,noise,MARKET_EXPOSURE,unknown,unknown
SPY,breakout,0.15,0.09846976938732349,0.0,0.08954093081619705,0.08954093081619705,noise,NOISE,unknown,unknown
SPY,mean_reversion,0.15,0.20508402484951688,0.0,0.12152520745485507,0.12152520745485507,noise,NOISE,unknown,unknown
SPY,earnings_reaction,0.15,0.35549991870734726,0.0,0.16664997561220418,0.16664997561220418,noise,NOISE,unknown,unknown
QQQ,momentum,0.15,0.3819476274750674,-0.7201107093858705,0.04144892457324095,-0.04144892457324095,noise,TRUE_SIGNAL,unknown,unknown
QQQ,breakout,0.15,0.17900010902795638,0.0,0.11370003270838691,0.11370003270838691,noise,NOISE,unknown,unknown
QQQ,mean_reversion,0.15,0.2700404044886936,0.0,0.14101212134660807,0.14101212134660807,noise,NOISE,unknown,unknown
QQQ,earnings_reaction,0.15,0.5475855136940485,0.0,0.22427565410821454,0.22427565410821454,weak_monitor,NOISE,unknown,unknown
IWM,momentum,0.15,0.20320049696290604,0.8984828869037104,0.3905050151599849,0.3905050151599849,weak_monitor,TRUE_SIGNAL,unknown,unknown
IWM,breakout,0.15,-0.18173641741187402,-0.5,0.1445209252235622,-0.1445209252235622,noise,MARKET_EXPOSURE,unknown,unknown
IWM,mean_reversion,0.15,0.31448594076425157,0.0,0.15434578222927547,0.15434578222927547,noise,NOISE,unknown,unknown
IWM,earnings_reaction,0.15,0.4544820116721556,0.0,0.19634460350164668,0.19634460350164668,noise,NOISE,unknown,unknown
XLK,momentum,0.15,0.48904255698231147,0.0,0.20671276709469344,0.20671276709469344,weak_monitor,NOISE,unknown,unknown
XLK,breakout,0.15,0.21004558731831413,0.0,0.12301367619549423,0.12301367619549423,noise,NOISE,unknown,unknown
XLK,mean_reversion,0.15,0.31655656906916796,0.0,0.15496697072075039,0.15496697072075039,noise,NOISE,unknown,unknown
XLK,earnings_reaction,0.15,0.7135864998536318,0.0,0.2740759499560895,0.2740759499560895,weak_monitor,NOISE,unknown,unknown
XLF,momentum,0.15,-0.06420808623420321,-0.5,0.10926242587026096,-0.10926242587026096,noise,MARKET_EXPOSURE,unknown,unknown
XLF,breakout,0.15,-0.23429054244044029,0.0,0.01028716273213208,-0.01028716273213208,noise,NOISE,unknown,unknown
XLF,mean_reversion,0.15,-0.01652612648893831,0.0,0.05504216205331851,0.05504216205331851,noise,NOISE,unknown,unknown
XLF,earnings_reaction,0.15,0.04342460812612131,0.0,0.0730273824378364,0.0730273824378364,noise,NOISE,unknown,unknown
XLE,momentum,0.15,0.5186901217821103,0.0,0.21560703653463306,0.21560703653463306,weak_monitor,NOISE,unknown,unknown
XLE,breakout,0.15,0.5186901217821103,-0.5,0.06560703653463307,0.06560703653463307,noise,MARKET_EXPOSURE,unknown,unknown
XLE,mean_reversion,0.15,0.24252875098474824,0.8231247928492204,0.37969606315019055,0.37969606315019055,weak_monitor,TRUE_SIGNAL,unknown,unknown
XLE,earnings_reaction,0.15,0.27558330889098515,-0.34743002034549103,0.03844598656364824,0.03844598656364824,noise,MARKET_EXPOSURE,unknown,unknown
AAPL,momentum,0.3321866866666666,0.36823664457912214,-0.7816052865050934,0.008864082088875291,0.008864082088875291,noise,TRUE_SIGNAL,improving,Technology
AAPL,breakout,0.3321866866666666,0.33466212585634564,-0.7734951293480415,0.001224773619157904,0.001224773619157904,noise,TRUE_SIGNAL,improving,Technology
AAPL,mean_reversion,0.3321866866666666,0.10949455295017368,0.9224636221134335,0.4424621271857488,0.4424621271857488,weak_monitor,TRUE_SIGNAL,improving,Technology
AAPL,earnings_reaction,0.3321866866666666,0.47794660764914815,0.0,0.2762586569614111,0.2762586569614111,weak_monitor,NOISE,improving,Technology
MSFT,momentum,0.46541998,-0.09951015464443141,0.0,0.15631494560667059,0.15631494560667059,noise,NOISE,improving,Technology
MSFT,breakout,0.46541998,-0.3859371992576021,0.0,0.07038683222271938,0.07038683222271938,noise,NOISE,improving,Technology
MSFT,mean_reversion,0.46541998,-0.10044480309670906,0.0,0.1560345510709873,0.1560345510709873,noise,NOISE,improving,Technology
MSFT,earnings_reaction,0.46541998,-0.012308199449018564,0.0,0.18247553216529444,0.18247553216529444,noise,NOISE,improving,Technology
NVDA,momentum,0.5333333333333333,0.41428263507272334,-0.5,0.18761812385515034,0.18761812385515034,noise,MARKET_EXPOSURE,improving,Technology
NVDA,breakout,0.5333333333333333,-0.09916453656573587,0.0,0.1835839723636126,0.1835839723636126,noise,NOISE,improving,Technology
NVDA,mean_reversion,0.5333333333333333,0.21980465384678105,0.0,0.27927472948736765,0.27927472948736765,weak_monitor,NOISE,improving,Technology
NVDA,earnings_reaction,0.5333333333333333,0.5439232045137707,0.0,0.37651029468746455,0.37651029468746455,weak_monitor,NOISE,improving,Technology
AMZN,momentum,0.18290666666666666,0.34516450324308756,-1.0,0.12328798236040706,-0.12328798236040706,noise,TRUE_SIGNAL,improving,Consumer Cyclical
AMZN,breakout,0.18290666666666666,-0.11012461860882639,0.5679905054616431,0.21052243272251167,0.21052243272251167,weak_monitor,TRUE_SIGNAL,improving,Consumer Cyclical
AMZN,mean_reversion,0.18290666666666666,0.4671891821542876,0.0,0.21331942131295295,0.21331942131295295,weak_monitor,NOISE,improving,Consumer Cyclical
AMZN,earnings_reaction,0.18290666666666666,0.5637969358720677,0.0,0.24230174742828697,0.24230174742828697,weak_monitor,NOISE,improving,Consumer Cyclical
GOOGL,momentum,0.47452333333333335,0.6005165453826071,0.0,0.3699642969481155,0.3699642969481155,weak_monitor,NOISE,improving,Communication Services
GOOGL,breakout,0.47452333333333335,0.3032637186674545,0.0,0.2807884489335697,0.2807884489335697,weak_monitor,NOISE,improving,Communication Services
GOOGL,mean_reversion,0.47452333333333335,0.48135868421890704,0.0,0.3342169385990055,0.3342169385990055,weak_monitor,NOISE,improving,Communication Services
GOOGL,earnings_reaction,0.47452333333333335,0.6327612956326105,0.0,0.3796377220231165,0.3796377220231165,weak_monitor,NOISE,improving,Communication Services
META,momentum,0.49903666666666663,-0.265296396445361,0.0,0.12002574773305837,0.12002574773305837,noise,NOISE,improving,Communication Services
META,breakout,0.49903666666666663,-1.0,-0.5,0.25038533333333335,-0.25038533333333335,weak_monitor,MARKET_EXPOSURE,improving,Communication Services
META,mean_reversion,0.49903666666666663,-0.05997814287766151,0.0,0.1816212238033682,0.1816212238033682,noise,NOISE,improving,Communication Services
META,earnings_reaction,0.49903666666666663,-0.22463971523218956,0.0,0.1322227520970098,0.1322227520970098,noise,NOISE,improving,Communication Services
JPM,momentum,0.3740266666666667,-0.22809921135070846,0.0,0.08118090326145413,0.08118090326145413,noise,NOISE,improving,Financial Services
JPM,breakout,0.3740266666666667,-0.7158726521025592,0.0,0.06515112896410111,-0.06515112896410111,noise,NOISE,improving,Financial Services
JPM,mean_reversion,0.3740266666666667,-0.051428841479178505,0.0,0.13418201422291312,0.13418201422291312,noise,NOISE,improving,Financial Services
JPM,earnings_reaction,0.3740266666666667,-0.016060362692088465,0.0,0.14479255785904013,0.14479255785904013,noise,NOISE,improving,Financial Services
UNH,momentum,-0.009886666666666674,0.6159208696305637,0.0,0.18082159422250244,0.18082159422250244,noise,NOISE,stable,Healthcare
UNH,breakout,-0.009886666666666674,0.3782099648759726,0.0,0.10950832279612509,0.10950832279612509,noise,NOISE,stable,Healthcare
UNH,mean_reversion,-0.009886666666666674,0.427009096316718,0.0,0.12414806222834872,0.12414806222834872,noise,NOISE,stable,Healthcare
UNH,earnings_reaction,-0.009886666666666674,0.4646007514866698,0.0,0.13542555877933427,0.13542555877933427,noise,NOISE,stable,Healthcare
XOM,momentum,0.04498332933333332,0.5108426971450595,0.0,0.17124614087685117,0.17124614087685117,noise,NOISE,stable,Energy
XOM,breakout,0.04498332933333332,0.5108426971450595,0.0,0.17124614087685117,0.17124614087685117,noise,NOISE,stable,Energy
XOM,mean_reversion,0.04498332933333332,0.13940960902462085,0.0,0.05981621444071958,0.05981621444071958,noise,NOISE,stable,Energy
XOM,earnings_reaction,0.04498332933333332,0.12603772849668382,0.0,0.05580465028233847,0.05580465028233847,noise,NOISE,stable,Energy
