signal,target,horizon,ic_spearman,pearson,quintile_spread,quantile_means,hit_ratio,n_obs,ic_neutral
pct_above_sma20,SPY,1,-0.016644635037320363,-0.003953487897950147,0.0007017358896774216,"{1: 6.883309556834337e-05, 2: 0.0010891554932972829, 3: 0.0009411873876237868, 4: 0.0006959640707992395, 5: 0.000770568985245765}",0.5479166666666667,480,0.00564719780703877
pct_above_sma20,SPY,5,-0.027122124869485877,-0.02563077573898007,-0.003030893549089,"{1: 0.005759746293000849, 2: -0.0004019814412945054, 3: 0.005305048180504647, 4: 0.004992917878273471, 5: 0.0027288527439118487}",0.5882352941176471,476,-0.016396633739550505
pct_above_sma20,SPY,10,0.01841034670387984,-0.009318994111646734,0.0001591696760094418,"{1: 0.010118077003652597, 2: -0.00015709151361701816, 3: 0.009423753700218375, 4: 0.006886729977857566, 5: 0.010277246679662039}",0.6114649681528662,471,0.04948271349488147
pct_above_sma20,SPY,20,0.0027745795138370407,-0.03266988446656858,-0.006509972208774651,"{1: 0.020769458572715515, 2: 0.0007924967135357064, 3: 0.015519516741775907, 4: 0.017248983487687008, 5: 0.014259486363940864}",0.6724511930585684,461,0.10353462569538065
pct_above_sma50,SPY,1,-0.035886054424094364,0.01464411375015904,0.0006115297269110013,"{1: 8.784898146731013e-06, 2: 0.0017362544955991641, 3: 0.001640595509511944, 4: -0.00013777851259115422, 5: 0.0006203146250577323}",0.5444444444444444,450,0.007218346861146192
pct_above_sma50,SPY,5,-0.026123532363661807,0.0073674889742600174,-0.0007174248354016458,"{1: 0.0035689436319329367, 2: 0.005194040576692118, 3: 0.004913430841119652, 4: 0.004937703574600043, 5: 0.002851518796531291}",0.594170403587444,446,0.10116296622551121
pct_above_sma50,SPY,10,0.03349925375541041,0.025090499996093973,0.002528869400419933,"{1: 0.008244373767954099, 2: 0.004298736611676463, 3: 0.005653934354046986, 4: 0.012877182333872169, 5: 0.010773243168374032}",0.6235827664399093,441,0.24698247233510823
pct_above_sma50,SPY,20,0.02250529962256646,-0.025173890165608365,-0.004834790332209073,"{1: 0.019738938527600208, 2: 0.004209343035174033, 3: 0.01380039772479188, 4: 0.02338489499294736, 5: 0.014904148195391135}",0.6728538283062645,431,0.4203489407156845
pct_new_20d_high,SPY,1,-0.0018982742096312055,0.0006259160164610681,-0.00013115253961768847,"{1: 0.0011891601033572803, 2: 0.0009774274385948648, 3: -0.0008351889651702915, 4: 0.0011763028920129721, 5: 0.0010580075637395918}",0.37083333333333335,480,0.026460102425882693
pct_new_20d_high,SPY,5,-0.011109259995773816,0.013480985050195793,0.00048518683759424773,"{1: 0.005337887577435338, 2: 0.006362816101541139, 3: -0.002406332644936967, 4: 0.0032715788233858, 5: 0.0058230744150295855}",0.3907563025210084,476,0.008250675825449765
pct_new_20d_high,SPY,10,-0.04907178613480775,0.004018693995143462,-0.0034116458418367076,"{1: 0.013184010011348866, 2: 0.010733401364361133, 3: -0.004915060074436505, 4: 0.007741384068395391, 5: 0.009772364169512158}",0.40764331210191085,471,-0.017637947183278276
pct_new_20d_high,SPY,20,-0.05598895620268273,-0.024000263497545356,-0.011739575703728009,"{1: 0.027110397947123867, 2: 0.015649023924090625, 3: -0.0033165119653185233, 4: 0.013707286476293521, 5: 0.015370822243395858}",0.44685466377440347,461,0.05534560894144362
pct_positive_5d_return,SPY,1,-0.005813880876125972,0.0016682075716294995,5.192825533784312e-05,"{1: 0.0009482709892785045, 2: 0.0004219713679284096, 3: 0.00145149828667274, 4: 7.352115036956703e-05, 5: 0.0010001992446163476}",0.548582995951417,494,0.01242301616551943
pct_positive_5d_return,SPY,5,-0.04035189044620161,-0.013276231929470918,0.001771691181761877,"{1: 0.002752675270450107, 2: 0.004719750767745774, 3: 0.00645390268837242, 4: 0.0013589882101056753, 5: 0.004524366452211984}",0.5877551020408164,490,-0.05896471949103529
pct_positive_5d_return,SPY,10,-0.046576700611585725,-0.03265159768838662,-0.0024499945341853284,"{1: 0.010660727331858678, 2: 0.007051278798534035, 3: 0.008400952876636923, 4: 0.00437946700366475, 5: 0.00821073279767335}",0.6185567010309279,485,-0.059361807548020826
pct_positive_5d_return,SPY,20,-0.02796156980073099,-0.040370497671643704,-0.0053065535682941326,"{1: 0.022617549933767103, 2: 0.009791164220794532, 3: 0.011050682147819105, 4: 0.01191378636415871, 5: 0.01731099636547297}",0.6736842105263158,475,0.01161167718278034
median_component_return,SPY,1,0.03911966863595558,0.06835620663671707,0.000948011471077187,"{1: 7.84523959814909e-05, 2: 0.0013761869053451224, 3: -0.0009183439120237468, 4: 0.0022455356765239552, 5: 0.001026463867058678}",0.5160642570281124,498,0.05692752134079376
median_component_return,SPY,5,0.03951535457887544,0.01764425987454807,0.0017790782824173746,"{1: 0.0029932091545983946, 2: 0.0030754295678643655, 3: 0.0023828141729866324, 4: 0.006240984937099285, 5: 0.004772287437015769}",0.4979757085020243,494,-0.01113640590802659
median_component_return,SPY,10,0.010629465504395466,0.01243556636600484,-0.0018839128618966874,"{1: 0.009792880334248416, 2: 0.005758430717436951, 3: 0.006213198277359849, 4: 0.009204747731427904, 5: 0.007908967472351728}",0.5255623721881391,489,-0.02036033099751933
median_component_return,SPY,20,0.004758977472244303,0.004324511615058377,-0.004719998154623791,"{1: 0.017957559828335544, 2: 0.010462054043876436, 3: 0.01748739049311027, 4: 0.0143354643140017, 5: 0.013237561673711753}",0.5427974947807933,479,-0.000570673496153483
return_dispersion,SPY,1,-0.027283919855419548,-0.040150861412248315,-0.0011077598176913674,"{1: 0.0011225602657820933, 2: 0.001544390590240999, 3: -9.152165375556964e-05, 4: 0.0012093858208191619, 5: 1.4800448090726003e-05}",0.5742971887550201,498,-0.03628214148769437
return_dispersion,SPY,5,0.00016966770463087318,-0.026178881823480365,0.0001415029177349739,"{1: 0.0036765406535075877, 2: 0.0032446959529207945, 3: 0.004396461712680992, 4: 0.004349323253350836, 5: 0.0038180435712425616}",0.6153846153846154,494,0.008213858944209049
return_dispersion,SPY,10,0.03076567044397967,0.0011509132499251432,0.0023640799521880912,"{1: 0.0063806071183879895, 2: 0.00870400183059181, 3: 0.007965822742426482, 4: 0.00710098969395541, 5: 0.00874468707057608}",0.65439672801636,489,0.04551245520554012
return_dispersion,SPY,20,-0.05749753234161128,-0.057348441437444,-0.006099863539514671,"{1: 0.01755358093906059, 2: 0.016491835407367206, 3: 0.013377880286579892, 4: 0.014560208922497408, 5: 0.011453717399545918}",0.7181628392484343,479,-0.01734700921163661
equal_weight_vs_cap_weight,SPY,1,0.05398763880091035,0.06708347568120271,0.0027505998401217936,"{1: -3.160734900618522e-05, 2: 0.000965953153936359, 3: -0.0004741311138301318, 4: 0.0006086162185762851, 5: 0.002718992491115608}",0.5240963855421686,498,0.06961373752716073
equal_weight_vs_cap_weight,SPY,5,0.017513201008450288,0.02076800220977958,0.004258366439697852,"{1: 0.0012290266429176699, 2: 0.0026840762717322136, 3: 0.005058157350780678, 4: 0.00503309558998093, 5: 0.005487393082615522}",0.5080971659919028,494,0.049257037884443404
equal_weight_vs_cap_weight,SPY,10,-0.020590016153298297,-0.010064097691068422,-0.002120439055955526,"{1: 0.008460353611938089, 2: 0.005330177573648262, 3: 0.007504834094415734, 4: 0.011256124654157098, 5: 0.006339914555982563}",0.5071574642126789,489,0.01585304948007974
equal_weight_vs_cap_weight,SPY,20,0.019405840270437888,0.02566400646829166,0.00022078931915370942,"{1: 0.011647487398699176, 2: 0.010185689592964793, 3: 0.017127522690112175, 4: 0.022647305330458778, 5: 0.011868276717852885}",0.5553235908141962,479,0.05125355174167409
advance_decline_ratio,SPY,1,0.027119090514814117,0.06684050396795975,0.0022798616287360526,"{1: -0.00039493673605643035, 2: 0.0016880186216824949, 3: 0.0008244893155688563, 4: -0.0003414315510267238, 5: 0.0018849248926796223}",0.5341880341880342,468,0.08235055291657029
advance_decline_ratio,SPY,5,-0.014293341013410857,0.0042105950836066434,-0.0005858802501986903,"{1: 0.004775808830795174, 2: 0.002282415435440691, 3: 0.004091873954266334, 4: 0.002603424142766201, 5: 0.004189928580596484}",0.5689655172413793,464,-0.058976734078530976
advance_decline_ratio,SPY,10,-0.04107559334564987,-0.026908362910378524,-0.003586489478235047,"{1: 0.010721583834981596, 2: 0.005862440114572426, 3: 0.0086775072327161, 4: 0.005814081270779521, 5: 0.007135094356746549}",0.6078431372549019,459,-0.05101147122063243
advance_decline_ratio,SPY,20,-0.05811946936404789,-0.03632833062798386,-0.010683429035174897,"{1: 0.02202687838083461, 2: 0.008387576353361521, 3: 0.015448637041790324, 4: 0.013607121711982702, 5: 0.011343449345659713}",0.6636971046770601,449,0.0011207309295118322
breadth_thrust,SPY,1,0.007487050159459143,0.030954279877090735,0.0005666181557584086,"{1: 0.0009929222192753022, 2: 0.0006089917391589922, 3: -0.00026629156336033363, 4: 0.0007313300257897875, 5: 0.0015595403750337108}",0.40421052631578946,475,0.03341151081702902
breadth_thrust,SPY,5,-0.0848405423680229,-0.037234251740022026,-0.005507593002729382,"{1: 0.006904475794969627, 2: 0.002715965837134077, 3: 0.004165402669719354, 4: 0.003259979051614713, 5: 0.001396882792240245}",0.3481953290870488,471,-0.11159324738862833
breadth_thrust,SPY,10,-0.03640535934671496,0.0029867228498807134,-0.0009621256452071241,"{1: 0.006404578437452845, 2: 0.0077082477877048975, 3: 0.0071729717352677766, 4: 0.009177666889837047, 5: 0.005442452792245721}",0.38626609442060084,466,-0.05991884899345767
breadth_thrust,SPY,20,-0.06725745597490852,-0.012673761291203662,-0.0031357068903384404,"{1: 0.02039895297255068, 2: 0.014933412454350394, 3: 0.005803532256132466, 4: 0.010398215776614005, 5: 0.01726324608221224}",0.3815789473684211,456,-0.06707476778269483
breadth_divergence,SPY,1,0.006379044118123417,-0.006541015359087504,0.0006315810727857234,"{1: 0.0007685323376264838, 2: 7.45252097821328e-05, 3: 0.0021846753572084, 4: -0.0008786415284436343, 5: 0.0014001134104122072}",0.4425531914893617,470,0.012916804527429767
breadth_divergence,SPY,5,-0.027847900881709277,0.00020158461126086515,0.000690359669189422,"{1: 0.0023738741922422865, 2: 0.004512340253052088, 3: 0.006471979974604926, 4: 0.0013210041438598823, 5: 0.0030642338614317085}",0.4291845493562232,466,-0.053915744032452285
breadth_divergence,SPY,10,-0.02882791621714875,-0.008541257672376379,-0.001488208780105714,"{1: 0.009710784697319187, 2: 0.008398900638953254, 3: 0.0038334265547635537, 4: 0.004713235414373471, 5: 0.008222575917213473}",0.41431670281995664,461,-0.07292721284317924
breadth_divergence,SPY,20,-0.03442254758672316,0.02599712783732482,0.0021553943923422678,"{1: 0.017917709883507358, 2: 0.013029814598243355, 3: 0.0038530447795667427, 4: 0.014920133043425467, 5: 0.020073104275849626}",0.4212860310421286,451,-0.08661966342320306
pct_above_sma20,QQQ,1,-0.000529621367201287,0.012482678973076644,0.0020018126919489993,"{1: -0.0006024987314745024, 2: 0.0019293516739492245, 3: 0.0013157695871245413, 4: 0.000373612928112374, 5: 0.0013993139604744967}",0.5479166666666667,480,-0.009723509681070072
