feature,category,neutralization,horizon,ic_spearman,quintile_spread,quintile_spread_after_cost,hit_ratio,leakage_risk,rolling_ic_last,bootstrap_survival,ic_in_sample,ic_out_of_sample,spread_tail_high_signal_days,spread_tail_low_signal_days,ic_regime_on,ic_regime_off,note
liq_volume_zscore,C_liquidity,raw,1,0.0057310776808219815,0.0012076288535612667,0.00020762885356126666,0.49759269458311867,LOW,0.03337145310829521,0.84,0.0029391362821830067,0.01682287208085709,0.0012076288535612667,0.0012076288535612667,0.004575481391670543,0.008185485183848757,
liq_volume_zscore,C_liquidity,sector,1,0.002876809736592568,0.0002892909446526908,-0.0007107090553473092,0.49267148719953097,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,beta,1,0.006682379397576008,0.00116218163555066,0.00016218163555066002,0.4994063601658538,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,momentum,1,0.0034677152408545717,0.0012721594644712812,0.0002721594644712812,0.49921430882284973,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,raw,5,0.007588191529093173,0.0026008686296205793,0.0016008686296205793,0.493845906500652,LOW,0.06614307978138961,0.9,0.002084742978664641,0.02948890117155193,0.0026008686296205793,0.0026008686296205793,0.005219666133050825,0.012578289906225129,
liq_volume_zscore,C_liquidity,sector,5,0.001245732779484144,0.0007675213547028467,-0.00023247864529715332,0.49227388842244413,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,beta,5,0.009122716824014589,0.0027690503559654866,0.0017690503559654866,0.49789672844835503,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,momentum,5,0.013290591446786388,0.004104528565060949,0.003104528565060949,0.49965088674766095,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,raw,10,0.0068538401385755225,0.003952405086304689,0.002952405086304689,0.4935424686117207,LOW,0.08066582540266751,0.92,-0.0006820234403924999,0.036841380035572406,0.003952405086304689,0.003952405086304689,0.011478545182168995,-0.002790843883961292,
liq_volume_zscore,C_liquidity,sector,10,0.0003041134401391009,0.00033183253544734424,-0.0006681674645526558,0.49046659711479657,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,beta,10,0.008697442907969224,0.003980370129632531,0.002980370129632531,0.4976134976134976,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,momentum,10,0.020299629940821528,0.007354644138416057,0.006354644138416057,0.5042154951739038,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,raw,20,0.0011282700150234144,0.00270313624572735,0.00170313624572735,0.4894389318546622,LOW,0.07400888585099112,0.72,-0.0024566128534309097,0.01539259415593608,0.00270313624572735,0.00270313624572735,0.008935680043365576,-0.014820200042872106,
liq_volume_zscore,C_liquidity,sector,20,0.00017926337411848842,0.00012510174654226623,-0.0008748982534577338,0.49084342623668464,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,beta,20,0.001478518439272926,0.0025361699075074576,0.0015361699075074576,0.49209894152090683,LOW,,,,,,,,,
liq_volume_zscore,C_liquidity,momentum,20,0.019223773222028527,0.011809801405241651,0.01080980140524165,0.5030733539020832,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,raw,1,0.003679808872011262,0.0011533350985445054,0.00015333509854450534,0.49720184056709366,LOW,0.02937282016229385,0.74,0.0007604789771828526,0.015277690903166295,0.0011533350985445054,0.0011533350985445054,0.0024810746831417287,0.006225838324439287,
liq_dollar_volume_zscore,C_liquidity,sector,1,0.0014771696183705177,0.00020377801092243803,-0.000796221989077562,0.49188977916748094,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,beta,1,0.004667732989994886,0.0012834266375545227,0.00028342663755452266,0.49902277750379015,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,momentum,1,0.00443238044002754,0.0011595252306987331,0.0001595252306987331,0.4990063317465453,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,raw,5,0.0037810955102503493,0.002445665525419236,0.001445665525419236,0.49520355847728614,LOW,0.06254908119044675,0.76,-0.002462277097329273,0.028626297462330898,0.002445665525419236,0.002445665525419236,0.003614459689490733,0.004132170124072961,
liq_dollar_volume_zscore,C_liquidity,sector,5,-0.0009186854000531663,0.0005785184822027743,-0.0004214815177972257,0.49230961610603974,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,beta,5,0.005913463956911263,0.002982191816387623,0.0019821918163876228,0.4980987894707838,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,momentum,5,0.014808151336210027,0.00420146779467554,0.00320146779467554,0.500768049155146,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,raw,10,0.0033954600582388884,0.003924326584070271,0.002924326584070271,0.49388423211137894,LOW,0.08146634067686699,0.76,-0.005443840115006766,0.038569778678671604,0.003924326584070271,0.003924326584070271,0.01093788653107031,-0.012334044722708692,
liq_dollar_volume_zscore,C_liquidity,sector,10,-0.0016813992247728935,4.86078126999594e-05,-0.0009513921873000406,0.4891894808792316,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,beta,10,0.005551391178921543,0.004672407435297504,0.0036724074352975037,0.49716949716949715,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,momentum,10,0.021986056201341246,0.007586051029341605,0.0065860510293416046,0.5049435194100655,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,raw,20,0.0003594498346124601,0.0027494832636445615,0.0017494832636445615,0.4897125346563549,LOW,0.07154117812012548,0.68,-0.003934507819439833,0.017445197423114248,0.0027494832636445615,0.0027494832636445615,0.008727344005917008,-0.016733940823009646,
liq_dollar_volume_zscore,C_liquidity,sector,20,-0.0014139098630523814,0.0002904897381226148,-0.0007095102618773852,0.4904786225010944,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,beta,20,0.0014421234378642356,0.0031025289590912355,0.0021025289590912355,0.4926431949553337,LOW,,,,,,,,,
liq_dollar_volume_zscore,C_liquidity,momentum,20,0.023022678591157798,0.012328816395192899,0.011328816395192898,0.5053454832460358,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,raw,1,-0.002381640603278392,-0.0002442528021496719,-0.001244252802149672,0.03918584744150656,LOW,-0.02577882521310264,0.54,0.0017611411414795307,-0.018890470112464097,-0.0002442528021496719,-0.0002442528021496719,-0.00047952223887871864,-0.006661406923177661,
liq_failed_breakout,C_liquidity,sector,1,0.0009230632583361783,9.250843215892891e-05,-0.0009074915678410711,0.213879329724869,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,beta,1,-0.008512414728323496,9.378937355326768e-05,-0.0009062106264467323,0.4768724426258673,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,momentum,1,0.011275075224366467,0.0006170040472650853,-0.00038299595273491474,0.4881453066506447,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,raw,5,-0.004065729122508614,-0.002263589010515751,-0.003263589010515751,0.03981293137919644,LOW,0.008467831359863643,0.82,-0.006866250246056859,0.007115139302566584,-0.002263589010515751,-0.002263589010515751,0.0031690359142859123,-0.02020209231731994,
liq_failed_breakout,C_liquidity,sector,5,0.010358601881756855,0.0012836244667130646,0.0002836244667130646,0.21100853630974112,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,beta,5,-0.00608835935618011,0.0004610608571227817,-0.0005389391428772183,0.47883796644127224,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,momentum,5,0.013364123074978347,0.0028038472295474387,0.0018038472295474387,0.4911325233905879,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,raw,10,-0.007377581655090888,-0.004790391506665065,-0.005790391506665065,0.04057128854972521,LOW,0.01988022095502482,0.9,-0.0108175660832076,0.006382356057375944,-0.004790391506665065,-0.004790391506665065,0.005748550328408146,-0.036396628344101005,
liq_failed_breakout,C_liquidity,sector,10,0.01058984362175348,0.000299206363173949,-0.000700793636826051,0.20737214268211573,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,beta,10,-0.00414769877182437,0.0007729655890908764,-0.00022703441090912366,0.4790964929661185,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,momentum,10,0.021143770992544376,0.006381420193918296,0.005381420193918296,0.49604283600666965,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,raw,20,-0.004988939635050038,-0.006989443668903934,-0.007989443668903935,0.04149811936697183,LOW,0.015520335338111929,0.86,-0.0057294093861058595,-0.0020498443154746207,-0.006989443668903934,-0.006989443668903934,0.0008190197166579564,-0.01757285156375069,
liq_failed_breakout,C_liquidity,sector,20,0.007088740460707104,0.003597831541417079,0.002597831541417079,0.20355191256830601,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,beta,20,-0.004380802471607279,-0.000554877547194868,-0.001554877547194868,0.4810674557510001,LOW,,,,,,,,,
liq_failed_breakout,C_liquidity,momentum,20,0.028744098008287925,0.011409267526416102,0.010409267526416102,0.5042931286025208,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,raw,1,0.010036312326822458,0.0005531428196992776,-0.0004468571803007224,0.501985331090805,LOW,-0.05369643904185924,0.86,0.01388401672501119,-0.005328853903277872,0.0005531428196992776,0.0005531428196992776,0.014928029290672148,0.00038875942589668697,
liq_gap_extension,C_liquidity,sector,1,0.008935434481609088,0.0006807686116602902,-0.0003192313883397098,0.5000780261127391,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,beta,1,0.005644331244667961,0.0002430807706725359,-0.0007569192293274641,0.5016300571856127,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,momentum,1,0.0182108147485947,0.0009263408739709047,-7.365912602909537e-05,0.5064472893654388,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,raw,5,-0.00197376056897567,-0.0003878536415870071,-0.0013878536415870071,0.500339928527848,LOW,0.0031849895956790413,0.54,-0.0056794622519356144,0.012849046162864117,-0.0003878536415870071,-0.0003878536415870071,-0.0026513743359693294,-0.0006481114137063255,
liq_gap_extension,C_liquidity,sector,5,-0.002263866138106898,-0.0007043582285688509,-0.001704358228568851,0.4975333391440774,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,beta,5,-0.001270240679432257,-0.0003353825068778257,-0.0013353825068778257,0.5015673981191222,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,momentum,5,0.009347844697314847,0.001224309398738941,0.00022430939873894096,0.508518363357073,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,raw,10,-0.0005619543400867617,0.0006118748171963471,-0.00038812518280365287,0.5014040014040014,LOW,0.017124587901354297,0.42,-0.004793173846037926,0.016362923683717896,0.0006118748171963471,0.0006118748171963471,0.002627069932632766,-0.006737525153924572,
liq_gap_extension,C_liquidity,sector,10,0.0021628784205753107,0.0003434688014107533,-0.0006565311985892467,0.49896454896454895,LOW,,,,,,,,,
liq_gap_extension,C_liquidity,beta,10,0.0006955398402766821,0.0006638908310686361,-0.0003361091689313639,0.5011544011544011,LOW,,,,,,,,,
