feature,regime,mean_ic,n_days
liq_volume_zscore,bull_market,0.005219666133050825,493
liq_volume_zscore,bear_or_neutral,0.012578289906225129,234
liq_volume_zscore,high_vol,0.01646642183328727,406
liq_volume_zscore,low_vol,-0.0036409720332208546,321
liq_dollar_volume_zscore,bull_market,0.003614459689490733,493
liq_dollar_volume_zscore,bear_or_neutral,0.004132170124072961,234
liq_dollar_volume_zscore,high_vol,0.010581458986955491,406
liq_dollar_volume_zscore,low_vol,-0.0048199872671399495,321
liq_failed_breakout,bull_market,0.0031690359142859123,455
liq_failed_breakout,bear_or_neutral,-0.02020209231731994,204
liq_failed_breakout,high_vol,-0.009164260484293345,350
liq_failed_breakout,low_vol,0.001709306400548524,309
liq_gap_extension,bull_market,-0.0026513743359693294,493
liq_gap_extension,bear_or_neutral,-0.0006481114137063255,252
liq_gap_extension,high_vol,0.007457486888701944,406
liq_gap_extension,low_vol,-0.013269000887020242,339
liq_extension_5d,bull_market,-0.013557228649178289,493
liq_extension_5d,bear_or_neutral,-0.005004612804232334,249
liq_extension_5d,high_vol,0.0053494599774091605,406
liq_extension_5d,low_vol,-0.03006471149740139,336
liq_extension_10d,bull_market,-0.01176652875475801,493
liq_extension_10d,bear_or_neutral,-0.027446130228701415,244
liq_extension_10d,high_vol,-0.006967624027515133,406
liq_extension_10d,low_vol,-0.029211175518814803,331
liq_reversal_after_extreme,bull_market,0.010164665254457826,493
liq_reversal_after_extreme,bear_or_neutral,-0.008590099533894495,252
liq_reversal_after_extreme,high_vol,0.0037213517035363606,406
liq_reversal_after_extreme,low_vol,0.003939840991948471,339
breadth_pct_above_sma50,bull_market,,0
breadth_pct_above_sma50,bear_or_neutral,,0
breadth_pct_above_sma50,high_vol,,0
breadth_pct_above_sma50,low_vol,,0
breadth_pct_above_sma200,bull_market,,0
breadth_pct_above_sma200,bear_or_neutral,,0
breadth_pct_above_sma200,high_vol,,0
breadth_pct_above_sma200,low_vol,,0
breadth_new_highs_lows,bull_market,,0
breadth_new_highs_lows,bear_or_neutral,,0
breadth_new_highs_lows,high_vol,,0
breadth_new_highs_lows,low_vol,,0
breadth_cross_dispersion,bull_market,,0
breadth_cross_dispersion,bear_or_neutral,,0
breadth_cross_dispersion,high_vol,,0
breadth_cross_dispersion,low_vol,,0
breadth_narrow_leadership,bull_market,,0
breadth_narrow_leadership,bear_or_neutral,,0
breadth_narrow_leadership,high_vol,,0
breadth_narrow_leadership,low_vol,,0
breadth_sector_participation,bull_market,,0
breadth_sector_participation,bear_or_neutral,,0
breadth_sector_participation,high_vol,,0
breadth_sector_participation,low_vol,,0
earn_post_gap_continuation,bull_market,,0
earn_post_gap_continuation,bear_or_neutral,,0
earn_post_gap_continuation,high_vol,,0
earn_post_gap_continuation,low_vol,,0
earn_abnormal_volume,bull_market,,0
earn_abnormal_volume,bear_or_neutral,,0
earn_abnormal_volume,high_vol,,0
earn_abnormal_volume,low_vol,,0
earn_drift_surprise_5d,bull_market,,0
earn_drift_surprise_5d,bear_or_neutral,,0
earn_drift_surprise_5d,high_vol,,0
earn_drift_surprise_5d,low_vol,,0
earn_gap_size,bull_market,,0
earn_gap_size,bear_or_neutral,,0
earn_gap_size,high_vol,,0
earn_gap_size,low_vol,,0
