feature,hypothesis,ic_raw_5d,ic_sector_neutral_5d,ic_beta_neutral_5d,ic_momentum_neutral_5d,classification,leakage_risk
earn_earnings_gap,A_post_earnings_drift,0.018989921197045945,0.05318700898296331,,,mixed_or_weak,HIGH
earn_abnormal_volume,A_post_earnings_drift,0.04805800458182475,0.06166033928324582,,,mixed_or_weak,HIGH
earn_drift_persistence_3d,A_post_earnings_drift,0.034504760446217454,0.02749277693934143,,,mixed_or_weak,HIGH
earn_drift_persistence_5d,A_post_earnings_drift,-0.016805670934548114,-0.05893460916823383,,,mixed_or_weak,HIGH
breadth_pct_above_ma20,B_sector_breadth_deterioration,-0.013012638310554464,0.00205437356674379,-0.013807810353266172,0.012020120571516095,sector_exposure,
breadth_pct_above_ma50,B_sector_breadth_deterioration,0.0029486225289213756,0.007346400378746638,0.002842396536468284,0.02032618470959598,no_signal,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,-0.008948879372799916,-0.0024036360101150275,-0.0046649766477193716,-0.002385845805613056,no_signal,
breadth_new_high_participation,B_sector_breadth_deterioration,5.2590815294697425e-05,0.004684240406715251,-0.0009418624154723478,0.004710863129423035,no_signal,
breadth_return_dispersion,B_sector_breadth_deterioration,0.03415917101695379,-0.006606762586589481,0.032148846195760424,0.04277300908270598,sector_exposure,
liq_volume_zscore_20d,C_liquidity_exhaustion,0.0012491839804309212,0.003937182564313316,0.0029594846606681713,0.001220127784862165,no_signal,
liq_extension_20d,C_liquidity_exhaustion,-0.004139614323637325,0.000497940150749107,-0.002104629476128238,-0.002708848512998341,no_signal,
liq_failed_breakout_20d,C_liquidity_exhaustion,-0.000563912231496004,0.003926484077945081,0.0029376658399090944,0.0029413234764674636,no_signal,
liq_gap_reversal,C_liquidity_exhaustion,0.0008643316350803639,0.0009459028122218038,0.0015880770109289889,-0.004729132724716302,no_signal,
liq_vol_expansion_5_20,C_liquidity_exhaustion,0.007482425795407662,0.0038117912414471255,0.008592242932939581,0.017927593710914406,no_signal,
