feature,hypothesis,neutralization,horizon,ic_regime_on,ic_regime_off
breadth_pct_above_ma20,B_sector_breadth_deterioration,sector_neutral,5.0,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,sector_neutral,20.0,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,beta_neutral,5.0,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,beta_neutral,20.0,,
breadth_pct_above_ma50,B_sector_breadth_deterioration,sector_neutral,5.0,,
breadth_pct_above_ma50,B_sector_breadth_deterioration,sector_neutral,20.0,,
breadth_pct_above_ma50,B_sector_breadth_deterioration,beta_neutral,5.0,,
breadth_pct_above_ma50,B_sector_breadth_deterioration,beta_neutral,20.0,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,sector_neutral,5.0,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,sector_neutral,20.0,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,beta_neutral,5.0,,
breadth_ew_cap_divergence,B_sector_breadth_deterioration,beta_neutral,20.0,,
breadth_new_high_participation,B_sector_breadth_deterioration,sector_neutral,5.0,,
breadth_new_high_participation,B_sector_breadth_deterioration,sector_neutral,20.0,,
breadth_new_high_participation,B_sector_breadth_deterioration,beta_neutral,5.0,,
breadth_new_high_participation,B_sector_breadth_deterioration,beta_neutral,20.0,,
breadth_return_dispersion,B_sector_breadth_deterioration,sector_neutral,5.0,,
breadth_return_dispersion,B_sector_breadth_deterioration,sector_neutral,20.0,,
breadth_return_dispersion,B_sector_breadth_deterioration,beta_neutral,5.0,,
breadth_return_dispersion,B_sector_breadth_deterioration,beta_neutral,20.0,,
liq_volume_zscore_20d,C_liquidity_exhaustion,sector_neutral,,,
liq_volume_zscore_20d,C_liquidity_exhaustion,beta_neutral,,,
liq_volume_zscore_20d,C_liquidity_exhaustion,momentum_neutral,,,
liq_extension_20d,C_liquidity_exhaustion,sector_neutral,,,
liq_extension_20d,C_liquidity_exhaustion,beta_neutral,,,
liq_extension_20d,C_liquidity_exhaustion,momentum_neutral,,,
liq_failed_breakout_20d,C_liquidity_exhaustion,sector_neutral,,,
liq_failed_breakout_20d,C_liquidity_exhaustion,beta_neutral,,,
liq_failed_breakout_20d,C_liquidity_exhaustion,momentum_neutral,,,
liq_gap_reversal,C_liquidity_exhaustion,sector_neutral,,,
liq_gap_reversal,C_liquidity_exhaustion,beta_neutral,,,
liq_gap_reversal,C_liquidity_exhaustion,momentum_neutral,,,
liq_vol_expansion_5_20,C_liquidity_exhaustion,sector_neutral,,,
liq_vol_expansion_5_20,C_liquidity_exhaustion,beta_neutral,,,
liq_vol_expansion_5_20,C_liquidity_exhaustion,momentum_neutral,,,
