feature,hypothesis,neutralization,horizon,ic_spearman,quintile_spread,hit_ratio,n_stock_days,bootstrap_survival,bootstrap_ic_p05,bootstrap_ic_p95,residual_sharpe_proxy,rolling_ic_last,ic_regime_on,ic_regime_off,n_days_on,n_days_off
earn_earnings_gap,A_post_earnings_drift,raw,5,0.018989921197045945,-0.013329916947183133,0.48853615520282184,2277,0.66,-0.07750812170748554,0.08965417719782763,,0.01898992119704595,0.06565799690936207,-0.06434592828923284,25.0,14.0
earn_earnings_gap,A_post_earnings_drift,raw,20,-0.010031566188273793,-0.014450942723097215,0.49246231155778897,2277,0.58,-0.07205419899953311,0.06782194234926636,,-0.010031566188273782,0.01850674850985643,-0.056915940335201975,23.0,14.0
earn_earnings_gap,A_post_earnings_drift,sector_neutral,5,0.05318700898296331,0.0032029085117787973,0.2751322751322751,2277,,,,,,,,,
earn_earnings_gap,A_post_earnings_drift,sector_neutral,20,0.009766160936431402,0.010847914404714186,0.28186386477843767,2277,,,,,,,,,
earn_earnings_gap,A_post_earnings_drift,beta_neutral,5,,,,0,,,,,,,,,
earn_earnings_gap,A_post_earnings_drift,beta_neutral,20,,,,0,,,,,,,,,
earn_earnings_gap,A_post_earnings_drift,momentum_neutral,5,,,,0,,,,,,,,,
earn_earnings_gap,A_post_earnings_drift,momentum_neutral,20,,,,0,,,,,,,,,
earn_abnormal_volume,A_post_earnings_drift,raw,5,0.04805800458182475,0.0027821061887073305,0.5440917107583775,2277,0.94,-0.004574982209595387,0.10354151171874983,,0.04805800458182476,0.09828507513004321,-0.04163319282570821,25.0,14.0
earn_abnormal_volume,A_post_earnings_drift,raw,20,0.0797377890670046,-0.007139364444026328,0.5774326176336226,2277,0.96,0.004376657551005525,0.16156251715618378,,0.07973778906700461,0.10745996603967693,0.034194212611900025,23.0,14.0
earn_abnormal_volume,A_post_earnings_drift,sector_neutral,5,0.06166033928324582,0.0034041419962515026,0.27645502645502645,2277,,,,,,,,,
earn_abnormal_volume,A_post_earnings_drift,sector_neutral,20,0.05683546756991665,0.00474713235861586,0.2814070351758794,2277,,,,,,,,,
earn_abnormal_volume,A_post_earnings_drift,beta_neutral,5,,,,0,,,,,,,,,
earn_abnormal_volume,A_post_earnings_drift,beta_neutral,20,,,,0,,,,,,,,,
earn_abnormal_volume,A_post_earnings_drift,momentum_neutral,5,,,,0,,,,,,,,,
earn_abnormal_volume,A_post_earnings_drift,momentum_neutral,20,,,,0,,,,,,,,,
earn_drift_persistence_3d,A_post_earnings_drift,raw,5,0.034504760446217454,-0.0010155185794097554,0.5075354609929078,2269,0.72,-0.04423146670640701,0.11181955423630012,,0.03450476044621746,0.07567256804814114,-0.0390091817000748,25.0,14.0
earn_drift_persistence_3d,A_post_earnings_drift,raw,20,0.0009791582818869818,0.004893961603322873,0.5066422354557948,2269,0.54,-0.06326800545405649,0.10772946874095898,,0.0009791582818869846,0.005699062044702733,-0.006774969328453169,23.0,14.0
earn_drift_persistence_3d,A_post_earnings_drift,sector_neutral,5,0.02749277693934143,0.007390114940302158,0.2823581560283688,2269,,,,,,,,,
earn_drift_persistence_3d,A_post_earnings_drift,sector_neutral,20,-0.016150225426015165,-0.007341988827273931,0.2624828218048557,2269,,,,,,,,,
earn_drift_persistence_3d,A_post_earnings_drift,beta_neutral,5,,,,0,,,,,,,,,
earn_drift_persistence_3d,A_post_earnings_drift,beta_neutral,20,,,,0,,,,,,,,,
earn_drift_persistence_3d,A_post_earnings_drift,momentum_neutral,5,,,,0,,,,,,,,,
earn_drift_persistence_3d,A_post_earnings_drift,momentum_neutral,20,,,,0,,,,,,,,,
earn_drift_persistence_5d,A_post_earnings_drift,raw,5,-0.016805670934548114,0.0004315392657273636,0.5033407572383074,2268,0.5,-0.11671322845988472,0.08696207526016003,,-0.016805670934548114,0.04176091487475708,-0.12138885987973595,25.0,14.0
earn_drift_persistence_5d,A_post_earnings_drift,raw,20,-0.06394845596572292,0.012972858925348343,0.4926672777268561,2268,0.9,-0.14149050205301206,0.017267461352602136,,-0.0639484559657229,-0.05786931191104518,-0.07393562119840776,23.0,14.0
earn_drift_persistence_5d,A_post_earnings_drift,sector_neutral,5,-0.05893460916823383,-0.0024782452984451232,0.2623608017817372,2268,,,,,,,,,
earn_drift_persistence_5d,A_post_earnings_drift,sector_neutral,20,-0.036915367156839574,-0.014659485918016434,0.25710357470210815,2268,,,,,,,,,
earn_drift_persistence_5d,A_post_earnings_drift,beta_neutral,5,,,,0,,,,,,,,,
earn_drift_persistence_5d,A_post_earnings_drift,beta_neutral,20,,,,0,,,,,,,,,
earn_drift_persistence_5d,A_post_earnings_drift,momentum_neutral,5,,,,0,,,,,,,,,
earn_drift_persistence_5d,A_post_earnings_drift,momentum_neutral,20,,,,0,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,raw,5,-0.013012638310554464,-0.0055667596435682335,0.5078310058334806,57018,0.96,-0.028800505539400268,-0.0017486217487198506,-0.06227013131966639,0.00764500921644324,0.011478540030485013,-0.06505639228526335,493.0,232.0
breadth_pct_above_ma20,B_sector_breadth_deterioration,raw,20,0.011903118087315647,-0.012653272477397958,0.5250180505415163,57018,0.94,0.0010513441912844276,0.020116569961435404,1.5368186873579657,-0.029825661638526613,0.027181083998473892,-0.019574759953777627,478.0,232.0
breadth_pct_above_ma20,B_sector_breadth_deterioration,sector_neutral,5,0.00205437356674379,-0.0017532476836860712,0.19955806964822345,57018,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,sector_neutral,20,0.0025759425747640956,0.006451777626874709,0.20301444043321298,57018,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,beta_neutral,5,-0.013807810353266172,-0.005960252940670037,0.5265128111938943,55458,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,beta_neutral,20,0.01258595364652885,-0.011676923767025435,0.5468251021165986,55458,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,momentum_neutral,5,0.012020120571516095,-0.0016074322663262816,0.519139141443204,43835,,,,,,,,,
breadth_pct_above_ma20,B_sector_breadth_deterioration,momentum_neutral,20,0.044073634583039416,-0.0008462564754917589,0.5313069189828504,43835,,,,,,,,,
