signal,target,horizon,ic_spearman,pearson,quintile_spread,quantile_means,hit_ratio,n_obs,ic_neutral
volume_zscore_20d,SPY,1,0.03232240591322011,0.04016317798109563,0.0007488413020116658,"{1: -0.0001542071225486448, 2: 0.001482375672505883, 3: 0.00028209500507822327, 4: 0.0013608108158499183, 5: 0.000594634179463021}",0.5083333333333333,480,0.0037987171325716534
volume_zscore_20d,SPY,5,0.04646766750394299,0.061195241340621445,0.0029045901495485665,"{1: 0.0016129486027774767, 2: 0.005447234878091794, 3: 0.0049718376574469526, 4: 0.0018786721306915885, 5: 0.004517538752326043}",0.47689075630252103,476,0.02860595235972004
volume_zscore_20d,SPY,10,0.0923866630221816,0.09446675005372641,0.007965733996559173,"{1: 0.0023227045382300717, 2: 0.009894131767476328, 3: 0.0071609411085203556, 4: 0.006965427071465966, 5: 0.010288438534789245}",0.5010615711252654,471,0.06658278147875628
volume_zscore_20d,SPY,20,0.12546914558609362,0.13105559520763035,0.012886211674454707,"{1: 0.004778711697384223, 2: 0.016216046683805913, 3: 0.016078354287025514, 4: 0.014025716615096717, 5: 0.01766492337183893}",0.4880694143167028,461,0.08097604749085387
dollar_volume_zscore,SPY,1,0.027584321112504823,0.039211802608741145,0.0004483676703250702,"{1: -9.212399049007373e-05, 2: 0.0017887613917333806, 3: 0.00012884101184200644, 4: 0.001383986457428091, 5: 0.00035624367983499647}",0.5104166666666666,480,0.001194513625968076
dollar_volume_zscore,SPY,5,0.04128645698597215,0.057326730067126005,0.0018945190656688385,"{1: 0.0017390880891878398, 2: 0.005880341751420683, 3: 0.003773490508158595, 4: 0.003400376733642581, 5: 0.0036336071548566783}",0.4831932773109244,476,0.027630496097920166
dollar_volume_zscore,SPY,10,0.08890805561361721,0.09246325046826316,0.007220693036577581,"{1: 0.0015369797392953504, 2: 0.011985589776244204, 3: 0.00597848971005257, 4: 0.008381269793473665, 5: 0.008757672775872931}",0.4989384288747346,471,0.0682012256850651
dollar_volume_zscore,SPY,20,0.12163624360172509,0.12847708849027833,0.012900379315400551,"{1: 0.004794290124836497, 2: 0.01892300494282511, 3: 0.014562910321399034, 4: 0.012788708495120432, 5: 0.017694669440237048}",0.48156182212581344,461,0.08283542035575878
return_3d_extension,SPY,1,0.0029215370423911996,-0.07194321176556207,-0.0003934114756893377,"{1: 0.0017000154372118826, 2: -0.00023941592038921304, 3: 5.317045185582854e-05, 4: 0.0009795779503900099, 5: 0.001306603961522545}",0.5161290322580645,496,0.022583951623811344
return_3d_extension,SPY,5,-0.024322130209400234,-0.08091028346665495,-1.8995707053155557e-05,"{1: 0.006510796891018488, 2: 0.0019302326773436098, 3: 0.002017965658395955, 4: 0.0026672526266956803, 5: 0.006491801183965333}",0.5040650406504065,492,-0.06807250250329314
return_3d_extension,SPY,10,-0.041767808809246854,-0.041452729875007206,-0.0004735009630909264,"{1: 0.012958282351066788, 2: 0.005734406923277252, 3: 0.004840931620538802, 4: 0.0026825092759917768, 5: 0.012484781387975862}",0.5359342915811088,487,-0.0730163934965934
return_3d_extension,SPY,20,0.011478247255324328,-0.03477141806722143,-0.001517105358171074,"{1: 0.02519375320001466, 2: 0.006078391136977509, 3: 0.00932384802087771, 4: 0.008584941657744895, 5: 0.023676647841843586}",0.5681341719077568,477,0.007164481033664242
distance_from_sma20,SPY,1,-0.037378959978124904,-0.04698922402605473,-0.0011024866935114342,"{1: 0.002107345546414461, 2: 0.0002502638336948475, 3: -0.0003207173116294461, 4: 0.0005239576289655113, 5: 0.0010048588529030268}",0.51875,480,-0.06329842613584892
distance_from_sma20,SPY,5,-0.03556071087819438,-0.06851664589195124,-0.0005773171602013408,"{1: 0.005553263250308658, 2: 0.0038245147585615484, 3: 0.00186478167242181, 4: 0.0021682492536447195, 5: 0.004975946090107317}",0.5630252100840336,476,-0.0858846115627938
distance_from_sma20,SPY,10,-0.008659595140584482,-0.06171945901679011,0.001596973900674847,"{1: 0.012282698508670743, 2: 0.003953433663732125, 3: 0.0027232471222099143, 4: 0.0036866339338593322, 5: 0.01387967240934559}",0.5859872611464968,471,-0.05700406750979841
distance_from_sma20,SPY,20,-0.0169997219605821,-0.07157558004510174,-0.004990007912504233,"{1: 0.0263448724393385, 2: 0.009521521913305974, 3: 0.0015213363070291123, 4: 0.009786742677970025, 5: 0.02135486452683427}",0.6030368763557483,461,-0.054794657560684246
intraday_range_expansion,SPY,1,0.022361859209458372,0.0892643486422866,-0.0006113401962835491,"{1: 0.000946917087266889, 2: 0.0012930490788551248, 3: -0.0013210185576898262, 4: 0.0023111840509328734, 5: 0.0003355768909833398}",0.56875,480,0.015143618361210693
intraday_range_expansion,SPY,5,0.006058765114784742,0.015480530378671954,-0.004141876279138456,"{1: 0.006122185252676854, 2: 0.0018167332245443996, 3: 0.0032764471594542567, 4: 0.005185091762173639, 5: 0.001980308973538397}",0.6092436974789915,476,-0.01957486056720928
intraday_range_expansion,SPY,10,0.03784606338188309,0.0722473176336935,0.0006119038912223967,"{1: 0.008300641989261445, 2: 0.004184271478653186, 3: 0.006091323104419826, 4: 0.009079265488397378, 5: 0.008912545880483841}",0.6411889596602972,471,0.029317214735216805
intraday_range_expansion,SPY,20,0.002463772198752865,0.05531287810590962,-0.0011257351034677787,"{1: 0.014235107994698053, 2: 0.011962176500471789, 3: 0.014249270084792032, 4: 0.015105038267683994, 5: 0.013109372891230275}",0.7071583514099783,461,0.029671640865913562
realized_volatility_10d,SPY,1,0.07422604765530874,0.0884359898520401,0.002809802017817544,"{1: -7.821144524453436e-05, 2: 0.001190044692327668, 3: 0.000995362888031835, 4: -0.0010744840345380076, 5: 0.0027315905725730097}",0.5725971370143149,489,0.047544645350070906
realized_volatility_10d,SPY,5,0.13264383920428904,0.18371305097038385,0.00635199603532229,"{1: 0.0024275729535650084, 2: 0.0035902118726160543, 3: 8.769911938313175e-05, 4: 0.00427287284470681, 5: 0.008779568988887298}",0.6144329896907217,485,0.04342137111671079
realized_volatility_10d,SPY,10,0.179223325622073,0.2877794823288011,0.012436842978227964,"{1: 0.00604009726924331, 2: 0.005670297737718693, 3: -0.005396285300794929, 4: 0.012536134957459233, 5: 0.018476940247471273}",0.6479166666666667,480,0.05484557125384982
realized_volatility_10d,SPY,20,0.2575365289210348,0.3954476667304976,0.021812456318688965,"{1: 0.005058388360567448, 2: 0.007918335981854756, 3: 0.006260296481359824, 4: 0.025066899465902907, 5: 0.026870844679256413}",0.7127659574468085,470,0.0798318830534906
volatility_of_volume,SPY,1,0.051798333347891794,0.04835764898473045,0.0006272024615529177,"{1: 0.00033734911392601513, 2: 0.0001674543425745946, 3: 0.000395245467637017, 4: 0.0017335223903777997, 5: 0.0009645515754789329}",0.569937369519833,479,0.05277427216693904
volatility_of_volume,SPY,5,0.04774564855922382,0.04566242111890525,0.0007704704943077285,"{1: 0.0026274420812422254, 2: 0.004423847781450377, 3: -0.00034602667310130845, 4: 0.008365451131193895, 5: 0.003397912575549954}",0.6105263157894737,475,0.051255595783766435
volatility_of_volume,SPY,10,0.002935374431734615,-0.014493397857902818,-0.004706905273088511,"{1: 0.010057127893995139, 2: 0.005965994237811909, 3: 0.003146500761665635, 4: 0.012044396170728501, 5: 0.005350222620906628}",0.6404255319148936,470,0.012651453422815259
volatility_of_volume,SPY,20,-0.13240524478520388,-0.1423907928692091,-0.020277588249927737,"{1: 0.021954677014330227, 2: 0.014850552569142835, 3: 0.017027965059695446, 4: 0.013187441721944183, 5: 0.0016770887644024898}",0.7065217391304348,460,-0.08918129272831517
gap_extension,SPY,1,0.0426312518316153,-0.07246186811589418,-6.202202818052292e-05,"{1: 0.0006595518515657394, 2: 0.0014925663945904797, 3: 0.0008159581526281053, 4: 0.00024485539160985683, 5: 0.0005975298233852165}",0.5342741935483871,496,0.12972571852612952
gap_extension,SPY,5,0.010798740863973831,-0.0803893201091426,0.0006191399656519086,"{1: 0.005829513873626686, 2: 0.002336177273125414, 3: 0.0030192439510046414, 4: 0.0019918522469355507, 5: 0.006448653839278595}",0.5264227642276422,492,0.0654867854149097
gap_extension,SPY,10,-0.003831765136620334,-0.024863605920127818,0.004837190316233973,"{1: 0.009313301421430949, 2: 0.007042678452741787, 3: 0.005971627455106845, 4: 0.0022432173432456377, 5: 0.014150491737664922}",0.5379876796714579,487,0.0618296386648823
gap_extension,SPY,20,0.052306894179476475,0.0004425214970598671,0.011388645091372824,"{1: 0.015456479766680612, 2: 0.01414295198571598, 3: 0.008898532272168365, 4: 0.00758363820028338, 5: 0.026845124858053435}",0.5744234800838575,477,0.14918695579287833
exhaustion_composite,SPY,1,0.038583916226627456,0.1154184706746528,0.002336827194936977,"{1: -0.0009052509575296253, 2: 0.001650695254096979, 3: 0.0005894377610548118, 4: 0.001001350172827984, 5: 0.0014315762374073515}",0.474,500,0.04415704640187825
