momentum_window,top_k,rebalance_freq,cagr,sharpe,max_drawdown_pct,turnover_annual,excess_return_vs_spy,beta_vs_spy,alpha_annualized,return_pct,trades,fragility_score_global
5,1,1D,0.2857039776216046,1.394989959965455,10.77791436675435,75.80079681274901,0.032603051843366426,0.5352931921263806,0.14613810994290308,28.4422451441499,250,0.17785365397997108
5,1,5D,0.434114854312291,1.8570275562290766,10.383490600542656,32.62948207171315,0.18024506866969303,0.513015899436667,0.2636570492658175,43.20644682678256,161,0.17785365397997108
5,1,10D,0.4226361415062465,1.8680736558955402,10.383490600542645,16.565737051792826,0.16882807076048767,0.5892662313102228,0.23646820094308868,42.06474703586203,81,0.17785365397997108
5,2,1D,0.33893985548418937,2.081125807676175,6.744731585104646,69.27490039840637,0.08557053109505253,0.7663225187993568,0.12464056472761813,33.73899306931851,625,0.17785365397997108
5,2,5D,0.3950461802926193,2.3504442224352777,6.578206092339391,27.609561752988046,0.141384944991632,0.7540360001723848,0.16890074724099152,39.320434458976464,534,0.17785365397997108
5,2,10D,0.3680796205539498,2.193252386086738,5.463971026399453,14.055776892430279,0.114559821709741,0.7555102341407881,0.14919008508107753,36.63792213078736,507,0.17785365397997108
5,3,1D,0.34331454294793495,2.25100402296302,5.346976982171169,52.37450199203187,0.08992278656586294,0.8837338004968703,0.09902338790069229,34.17421861639956,887,0.17785365397997108
5,3,5D,0.3339136278052046,2.2318399209949185,6.4283152977730325,22.25498007968127,0.08057000662539338,0.856984814669974,0.09793982009090951,33.2389406223526,785,0.17785365397997108
5,3,10D,0.36925300892333746,2.48393665636231,4.532777353349271,12.215139442231076,0.11572709916194457,0.8490269755160891,0.12567300878730583,36.75464987600772,755,0.17785365397997108
5,4,1D,0.32173564233414664,2.2423942586040972,5.143246240721119,35.39043824701195,0.06845398653793167,0.9040269908458958,0.07705990759947508,32.027338613606425,1115,0.17785365397997108
5,4,5D,0.3055009842818066,2.1664310994863243,6.051144787756355,16.565737051792826,0.05230124583589313,0.8917182749616189,0.06735818169269268,30.412064543402572,1024,0.17785365397997108
5,4,10D,0.34724486312390246,2.4256051351813603,4.953789863086148,7.52988047808765,0.09383290535132893,0.8961786140073199,0.09787108413704451,34.56523049494615,988,0.17785365397997108
10,1,1D,0.3618791795040679,1.6117145113563842,14.695908855898113,60.74103585657371,0.1083916060389225,0.5123558331484036,0.21150909348392602,36.02110056370551,204,0.17785365397997108
10,1,5D,0.3909987450847825,1.7778529141112749,9.835894750576895,26.605577689243027,0.1373588703325508,0.4436018325645969,0.24732710641445232,38.91782699306834,131,0.17785365397997108
10,1,10D,0.5103617857385723,2.198426626599024,9.83589475057688,14.557768924302788,0.2560729923623539,0.3607926308891418,0.3494268712162291,50.789239196048655,71,0.17785365397997108
10,2,1D,0.2987666160822253,1.8865550903148804,7.303410337607912,44.17529880478088,0.04560062478093041,0.7841969070001468,0.08965116218259896,29.7420024379063,565,0.17785365397997108
10,2,5D,0.2814803538599544,1.8030383951562057,6.01638280442491,20.581673306772906,0.028400354263808048,0.7856754110703388,0.07572340575914732,28.021975386194065,510,0.17785365397997108
10,2,10D,0.40768598318587346,2.487263140556106,5.4639710263994505,15.0597609561753,0.15395774287862407,0.7840130547179155,0.1702804427569912,40.577714247675665,489,0.17785365397997108
10,3,1D,0.24295981922554977,1.757092270477623,5.599053860332876,37.64940239043824,-0.009931888001960987,0.8092801079787636,0.037520206879663225,24.188751159617162,828,0.17785365397997108
10,3,5D,0.26233671689459626,1.847426731707602,5.754335340609524,17.235059760956172,0.009350873635919354,0.8557717907084217,0.04247912622206489,26.117027323405196,755,0.17785365397997108
10,3,10D,0.2918264927208727,2.002293729289671,5.7274483953416535,13.88844621513944,0.03869513537461122,0.8637213697136896,0.06403815770159643,29.05145349727438,730,0.17785365397997108
10,4,1D,0.26791926933359855,1.9483407504143273,4.71153610227235,23.844621513944222,0.014906086410607422,0.8914684914850618,0.03795354789173648,26.672548600874002,1049,0.17785365397997108
10,4,5D,0.25684101501787127,1.8607616103017894,5.571782927543934,10.792828685258963,0.0038819908614797782,0.9097021965766252,0.025029128028951273,25.570139045961238,981,0.17785365397997108
10,4,10D,0.2743787377652387,1.9495723398630391,5.92634494764666,8.03187250996016,0.021333799522440744,0.9079641226324411,0.03954581425385875,27.315319912057333,950,0.17785365397997108
20,1,1D,0.46848616406415555,2.1632781429661625,8.983380152196602,37.64940239043825,0.21442942513685814,0.4565876672648871,0.2966194407400874,46.62488247349907,125,0.17785365397997108
20,1,5D,0.41870532440568997,2.043905890765057,10.995686983289628,11.54581673306773,0.16491830368273463,0.4623097100059944,0.2593805348061937,41.673770328086725,56,0.17785365397997108
20,1,10D,0.3119729153406625,1.5943977958953173,12.052430866388349,9.53784860557769,0.058740615613988245,0.42337848198284855,0.19015901783965058,31.056001521212085,46,0.17785365397997108
20,2,1D,0.3437276033044796,2.062808523223072,6.70778188449378,32.12749003984064,0.09033372597259204,0.7770937753016796,0.1261771767577445,34.215312557072465,521,0.17785365397997108
20,2,5D,0.26754310849818874,1.7175117318301025,6.7994867253644715,13.55378486055777,0.01453177081764534,0.8073836283908035,0.05977098219794635,26.635117041577793,476,0.17785365397997108
20,2,10D,0.25256873639249133,1.6120397859563185,7.621865357650432,9.03585657370518,-0.000369504522123032,0.798122564114658,0.05033146573339583,25.144989507600958,457,0.17785365397997108
20,3,1D,0.2833976885326561,1.8976716802889195,6.9066477712806105,29.28286852589641,0.03030819619548497,0.8632266172962895,0.05812214342958131,28.21275957936176,773,0.17785365397997108
20,3,5D,0.19294981358421603,1.3693412023653202,7.1672825128195905,12.215139442231077,-0.059704496220706504,0.8785236247812154,-0.019002343635592413,19.21149033774261,710,0.17785365397997108
20,3,10D,0.16069737454898392,1.1567062392500702,7.368038559412307,7.864541832669323,-0.09180820426266156,0.8827796571390931,-0.047334479104197184,16.001119533547104,682,0.17785365397997108
20,4,1D,0.2788853654820309,1.9714255769223243,5.730670513896511,18.573705179282868,0.025818195653134257,0.8955967522687783,0.04603342522985663,27.763759525126687,988,0.17785365397997108
20,4,5D,0.21605691598950916,1.5721773468757474,6.7955918105925175,7.52988047808765,-0.03670607470159282,0.9022084390325968,-0.0060325276328277765,21.511332489653977,928,0.17785365397997108
20,4,10D,0.16952230213776076,1.2801383137268463,6.795591810592515,6.274900398406374,-0.08302362481798431,0.8892301325191756,-0.04232396597244926,16.87957747801483,903,0.17785365397997108
40,1,1D,0.3513960473224893,1.7403179522276653,10.869569856916767,19.577689243027887,0.09796270379392302,0.4777017988651303,0.20759197867302634,34.97821033920556,70,0.17785365397997108
