etf,regime,event,n_events,mean_diff,left_tail_diff,correction_prob_diff
SPY,2016_2019,A_narrow_rally,27,-0.007295529318387542,0.0111111111111111,0.06729088639200997
SPY,2016_2019,B_passive_dominance,20,0.021411198856437032,0.0,-0.043820224719101124
SPY,2016_2019,C_participation_recovery,46,0.00048255358998611046,0.0111111111111111,0.022846441947565542
SPY,2020_2022,A_narrow_rally,16,0.011413778259228582,0.024456521739130432,-0.15081521739130435
SPY,2020_2022,B_passive_dominance,4,,,
SPY,2020_2022,C_participation_recovery,38,0.00919943126250362,0.004719679633867269,-0.07186784897025172
SPY,2023_2025,A_narrow_rally,25,-0.006789382283221098,0.02390710382513661,-0.0020491803278688547
SPY,2023_2025,B_passive_dominance,4,,,
SPY,2023_2025,C_participation_recovery,31,-0.0043797029513581165,-0.0010928961748633836,-0.010382513661202186
SPY,low_vol,A_narrow_rally,63,-0.004756411230521989,0.01083032490974728,-0.011517964586556642
SPY,high_vol,A_narrow_rally,5,0.02692679036312142,0.09971921379863619,-0.07501002807862013
QQQ,2016_2019,A_narrow_rally,19,0.002687309778880636,0.005263157894736831,0.03335304553518627
QQQ,2016_2019,B_passive_dominance,4,,,
QQQ,2016_2019,C_participation_recovery,36,0.004582382137270181,0.014285714285714277,0.013804173354735147
QQQ,2020_2022,A_narrow_rally,17,-0.011692519227145834,0.017103580562659843,0.07808503836317138
QQQ,2020_2022,B_passive_dominance,3,,,
QQQ,2020_2022,C_participation_recovery,35,-0.004625898224448147,0.017103580562659843,0.01926150895140666
QQQ,2023_2025,A_narrow_rally,21,0.005480252845965084,-0.005854800936768156,-0.06284153005464481
QQQ,2023_2025,B_passive_dominance,2,,,
QQQ,2023_2025,C_participation_recovery,40,0.004713929294038539,0.0014712063892391714,0.014081546868432118
QQQ,low_vol,A_narrow_rally,52,0.0037118948113700513,-0.0022415705150893167,-0.012269649135225685
QQQ,high_vol,A_narrow_rally,6,-0.03817232358419234,0.06638588046530283,0.2230244685118331
XLK,2016_2019,A_narrow_rally,18,-0.014881707380288642,0.017647058823529405,0.04798413747521481
XLK,2016_2019,B_passive_dominance,10,0.010974601578711614,0.0,-0.0696629213483146
XLK,2016_2019,C_participation_recovery,23,0.002758806249415789,0.03636363636363635,0.02124616956077631
XLK,2020_2022,A_narrow_rally,14,-0.014181542639948704,0.04231366459627328,0.15062111801242237
XLK,2020_2022,B_passive_dominance,1,,,
XLK,2020_2022,C_participation_recovery,38,-0.004331288091146857,0.004719679633867269,0.030320366132723098
XLK,2023_2025,A_narrow_rally,16,-0.011816401637812515,0.02390710382513661,-0.09289617486338798
XLK,2023_2025,B_passive_dominance,0,,,
XLK,2023_2025,C_participation_recovery,44,-0.005894539606709104,-0.0035319205651072882,0.10222577635612422
XLK,low_vol,A_narrow_rally,39,-0.006090292819652468,0.007827321906744289,-0.03644800034691731
XLK,high_vol,A_narrow_rally,11,-0.03629941819175939,-0.009371695292272914,0.24610728220836525
